Date,File Path,Keywords Found
11-March-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/11-March-1987_Lok Sabha Debates.pdf,No keywords found
26-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/26-November-1986_Lok Sabha Debates.pdf,drugs
2-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/2-December-1986_Lok Sabha Debates.pdf,drugs
3-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/3-December-1986_Lok Sabha Debates.pdf,No keywords found
9-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/9-December-1986_Lok Sabha Debates.pdf,"drugs, sex"
28-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/28-November-1986_Lok Sabha Debates.pdf,"drugs, sex"
23-March-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/23-March-1987_Lok Sabha Debates.pdf,No keywords found
1-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/1-December-1986_Lok Sabha Debates.pdf,"drugs, sex"
25-November-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/25-November-1986_Lok Sabha Debates.pdf,drugs
5-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/5-December-1986_Lok Sabha Debates.pdf,drugs
27-February-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/27-February-1987_Lok Sabha Debates.pdf,drugs
25-February-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/25-February-1987_Lok Sabha Debates.pdf,sex
24-February-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/24-February-1987_Lok Sabha Debates.pdf,drugs
3-March-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/3-March-1987_Lok Sabha Debates.pdf,drugs
4-December-1986,/Users/Aaryan/Desktop/Lok Sabha Debates/1986/4-December-1986_Lok Sabha Debates.pdf,drugs
6-March-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/6-March-1987_Lok Sabha Debates.pdf,drugs
5-March-1987,/Users/Aaryan/Desktop/Lok Sabha Debates/1987/5-March-1987_Lok Sabha Debates.pdf,"abortion, drugs, sex"
